epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.067,1.17699,1.45158,1.44976,0.70591,0.44875,0.51101,0.35392,1.18901,2.01769,1.47109,0.0700556,0.00332716,0.00332716
2,255.469,1.09422,0.92681,1.3504,0.83652,0.85866,0.90729,0.62161,1.04353,1.00871,1.25485,0.0400535,0.00665849,0.00665849
3,379.313,1.02134,0.80191,1.27842,0.70948,0.76634,0.7969,0.58911,0.97158,1.51815,1.17241,0.0100435,0.00998178,0.00998178
4,500.832,0.98554,0.71303,1.24637,0.89907,0.92529,0.96044,0.70279,1.003,0.63586,1.17712,0.00997288,0.00997288,0.00997288
5,618.796,0.95686,0.6532,1.22423,0.90272,0.94233,0.96628,0.68371,1.04359,0.63077,1.17891,0.00995183,0.00995183,0.00995183
6,737.65,0.93867,0.59791,1.20675,0.92624,0.97326,0.96716,0.70496,0.95231,0.55683,1.1346,0.0099248,0.0099248,0.0099248
7,855.457,0.91432,0.58195,1.18964,0.88461,0.95745,0.97049,0.72119,0.95665,0.55878,1.13958,0.00989183,0.00989183,0.00989183
8,973.968,0.88428,0.55291,1.17192,0.87794,0.9386,0.96672,0.73079,0.86967,0.59787,1.08543,0.00985296,0.00985296,0.00985296
9,1095.05,0.86905,0.52939,1.15648,0.92384,0.949,0.97938,0.73973,0.89404,0.5564,1.10797,0.00980825,0.00980825,0.00980825
10,1214.88,0.83877,0.51979,1.13896,0.93597,0.97617,0.9763,0.74437,0.88221,0.49847,1.08165,0.00975773,0.00975773,0.00975773
11,1367.58,0.80858,0.4917,1.11811,0.96482,0.96239,0.98423,0.79,0.75725,0.44865,1.02804,0.00970148,0.00970148,0.00970148
12,1532,0.77809,0.46672,1.09932,0.96522,0.96859,0.98893,0.79043,0.78596,0.46507,1.04553,0.00963956,0.00963956,0.00963956
13,1692.87,0.77479,0.45274,1.09582,0.91486,0.96208,0.97978,0.77624,0.7839,0.50387,1.04669,0.00957205,0.00957205,0.00957205
14,1847.3,0.74985,0.45323,1.08526,0.9672,0.97759,0.98854,0.81808,0.71467,0.43164,1.00416,0.00949903,0.00949903,0.00949903
15,2007.16,0.73058,0.44142,1.07172,0.94311,0.96803,0.98256,0.78733,0.74021,0.46168,1.00454,0.00942059,0.00942059,0.00942059
16,2189.34,0.69966,0.42294,1.05794,0.96131,0.98277,0.98732,0.8146,0.69077,0.40493,0.99198,0.00933683,0.00933683,0.00933683
17,2392.55,0.70154,0.42605,1.05095,0.97518,0.97582,0.98732,0.82559,0.65411,0.40056,0.97225,0.00924784,0.00924784,0.00924784
18,2544.98,0.69327,0.40202,1.05074,0.95951,0.98049,0.98972,0.79126,0.76585,0.42205,1.01501,0.00915374,0.00915374,0.00915374
19,2696.45,0.68891,0.4047,1.04387,0.95754,0.98232,0.98734,0.809,0.71643,0.40432,0.99857,0.00905463,0.00905463,0.00905463
20,2849.38,0.67058,0.39583,1.04142,0.97025,0.97778,0.98798,0.84124,0.64327,0.36734,0.97722,0.00895065,0.00895065,0.00895065
21,2998.29,0.66345,0.38464,1.0307,0.97123,0.97591,0.98939,0.83201,0.64791,0.37967,0.96636,0.00884192,0.00884192,0.00884192
22,3146.01,0.64874,0.37747,1.02337,0.97921,0.97981,0.98856,0.8514,0.61171,0.35749,0.95095,0.00872857,0.00872857,0.00872857
23,3299.78,0.64988,0.3725,1.02906,0.97373,0.9843,0.98865,0.8383,0.65878,0.36387,0.96353,0.00861073,0.00861073,0.00861073
24,3444.01,0.64258,0.37242,1.01876,0.9791,0.97527,0.99102,0.84742,0.5996,0.34362,0.94156,0.00848856,0.00848856,0.00848856
25,3592.25,0.6371,0.36425,1.01951,0.97728,0.97704,0.9908,0.85782,0.59648,0.35473,0.94854,0.0083622,0.0083622,0.0083622
26,3737.04,0.62783,0.36371,1.0105,0.96591,0.9897,0.99124,0.86009,0.60154,0.35044,0.94676,0.0082318,0.0082318,0.0082318
27,3879.88,0.61543,0.35283,1.00474,0.96697,0.98235,0.98939,0.85693,0.58052,0.34856,0.93053,0.00809752,0.00809752,0.00809752
28,4023.8,0.61569,0.3485,1.00055,0.95955,0.98865,0.98648,0.849,0.60147,0.34964,0.94253,0.00795954,0.00795954,0.00795954
29,4163.72,0.61044,0.34064,1.00382,0.98928,0.97122,0.99025,0.85425,0.60537,0.34126,0.95003,0.007818,0.007818,0.007818
30,4320.79,0.60589,0.34207,0.99811,0.98415,0.98491,0.9924,0.85972,0.58788,0.34158,0.9349,0.0076731,0.0076731,0.0076731
31,4472.2,0.59715,0.33545,0.99455,0.98768,0.98425,0.99288,0.86794,0.57975,0.32578,0.93533,0.007525,0.007525,0.007525
32,4614.24,0.58485,0.3245,0.98989,0.97788,0.98303,0.98829,0.85779,0.59892,0.33406,0.94048,0.00737388,0.00737388,0.00737388
33,4754.07,0.58254,0.3303,0.98194,0.98254,0.98642,0.9922,0.86507,0.59002,0.3248,0.93416,0.00721994,0.00721994,0.00721994
34,4891.75,0.58513,0.32798,0.98624,0.98017,0.98642,0.99297,0.8699,0.57479,0.31503,0.93087,0.00706335,0.00706335,0.00706335
35,5031.18,0.57539,0.31691,0.9778,0.98396,0.98642,0.99104,0.8744,0.55455,0.30347,0.91349,0.0069043,0.0069043,0.0069043
36,6924.82,0.57304,0.31692,0.97701,0.98615,0.982,0.99296,0.87274,0.57538,0.30459,0.92455,0.006743,0.006743,0.006743
37,7090.92,0.56473,0.31546,0.9749,0.98093,0.98642,0.99213,0.87155,0.571,0.31088,0.92709,0.00657963,0.00657963,0.00657963
38,7257.64,0.5633,0.30808,0.97107,0.98349,0.9967,0.99337,0.88277,0.54797,0.30065,0.91954,0.0064144,0.0064144,0.0064144
39,7422.73,0.55861,0.31044,0.96659,0.97413,0.9858,0.99048,0.87389,0.55031,0.29982,0.92067,0.00624751,0.00624751,0.00624751
40,7582.6,0.55244,0.30553,0.96585,0.98223,0.99138,0.99265,0.8793,0.55772,0.29734,0.914,0.00607916,0.00607916,0.00607916
41,7744.85,0.55519,0.30671,0.96764,0.96845,0.99512,0.99197,0.876,0.54986,0.30989,0.92264,0.00590956,0.00590956,0.00590956
42,7911.43,0.54836,0.30111,0.96627,0.98574,0.99268,0.99327,0.87832,0.55263,0.29819,0.9143,0.00573891,0.00573891,0.00573891
43,8070.67,0.541,0.30168,0.9618,0.98405,0.99434,0.99338,0.88344,0.5484,0.29164,0.91328,0.00556742,0.00556742,0.00556742
44,8229.47,0.5374,0.29494,0.95629,0.98907,0.99197,0.99418,0.88441,0.5387,0.28162,0.90898,0.00539529,0.00539529,0.00539529
45,8390.32,0.53473,0.29114,0.95847,0.9859,0.99542,0.9939,0.87868,0.5463,0.28687,0.91347,0.00522275,0.00522275,0.00522275
46,8559.96,0.5265,0.28437,0.94932,0.98328,0.98918,0.99269,0.88206,0.54411,0.28789,0.91379,0.00505,0.00505,0.00505
47,8716.37,0.52875,0.2904,0.95277,0.98582,0.99693,0.99314,0.87847,0.54297,0.28515,0.91368,0.00487725,0.00487725,0.00487725
48,8871.19,0.52213,0.28411,0.94812,0.98366,0.99069,0.99242,0.88309,0.54201,0.28465,0.9121,0.00470471,0.00470471,0.00470471
49,9021.84,0.51698,0.27895,0.94542,0.99027,0.99392,0.99444,0.88781,0.531,0.2875,0.90605,0.00453258,0.00453258,0.00453258
50,9172.55,0.51375,0.27634,0.94115,0.98583,0.99693,0.99376,0.88979,0.53032,0.28461,0.90807,0.00436109,0.00436109,0.00436109
51,9319.79,0.50754,0.27732,0.94649,0.98294,0.99542,0.99355,0.89132,0.52152,0.27344,0.90546,0.00419044,0.00419044,0.00419044
